,Viking,Highfields,Valinor,Third Point,Coatue,Scout,Conatus,Highline,HHR,Brookside
CHTR,0,0,0,0,1,1,1,0,0,0
FOXA,1,1,0,1,1,0,1,1,0,1
GOOG,0,0,1,0,1,1,1,0,1,1
LBTYA,0,0,0,1,1,0,1,0,0,0
PCLN,1,0,0,0,1,0,1,0,1,1
AIG,0,1,1,1,1,0,1,0,0,0
LBTYK,0,0,1,1,1,0,1,0,0,0
DG,1,0,0,1,0,0,0,0,0,1
KORS,1,0,0,0,1,1,0,0,0,1
TDG,0,0,0,0,0,0,0,0,1,1
V,1,0,0,0,0,0,1,0,0,0
TMO,1,0,0,1,0,0,1,0,0,0
AAPL,1,1,0,0,1,0,0,0,1,0
QCOM,1,1,1,0,0,0,0,0,1,0
RLGY,0,0,0,0,1,0,1,0,0,0
AMZN,0,0,0,0,1,1,1,0,1,0
GM,0,0,0,0,0,0,0,0,0,0
EQIX,1,0,0,0,1,0,0,0,0,0
MON,1,0,0,0,0,0,1,0,0,1
CBS,0,1,0,0,1,0,0,0,0,1
ULTA,0,0,0,0,0,1,0,0,0,1
CCI,1,0,0,0,1,0,0,0,0,0
MA,1,0,0,0,0,0,1,0,0,0
DLTR,0,1,0,0,0,0,0,0,0,0
TWC,1,1,0,0,1,0,0,1,0,0
SBUX,0,0,0,0,0,1,1,1,1,0
VRX,1,0,0,0,0,0,0,0,0,0
ISRG,1,0,0,0,1,0,1,0,0,0
EBAY,0,0,0,0,0,0,0,0,1,0
UPS,0,1,0,0,0,1,0,0,0,0
